ProductKey,Target,Model,MAE,RMSE,R2
2470,TotalSalesAmount,Prophet,873.9232180349309,1268.3234797859077,-0.0323601938092721
2470,TotalSalesAmount,LightGBM,763.2473053948022,1174.2763447689993,0.1150641072084258
2470,TotalSalesQuantity,Prophet,29.3452975777654,42.88694704691589,-0.0365286960649755
2470,TotalSalesQuantity,LightGBM,25.529261848914352,40.746138966582464,0.0643703184074599
1455,TotalSalesAmount,Prophet,4041.902372068653,5935.858691217248,-0.0619542674257114
1455,TotalSalesAmount,LightGBM,3035.497652198328,4646.929922863223,0.3491649194568141
1455,TotalSalesQuantity,Prophet,14.943118156896809,22.15192712098392,-0.0599332501075076
1455,TotalSalesQuantity,LightGBM,11.320380391614492,17.890484337154955,0.3086472661822133
2052,TotalSalesAmount,Prophet,1721.0242580344936,2538.291705593579,-0.1880459447208431
2052,TotalSalesAmount,LightGBM,1494.6939364486432,2274.372505195307,0.046164750307195
2052,TotalSalesQuantity,Prophet,12.889393377109734,18.65927057381869,-0.1603034159530416
2052,TotalSalesQuantity,LightGBM,10.850411452882714,16.708311660333436,0.069647816466893
1515,TotalSalesAmount,Prophet,2912.087801793235,3874.69935113976,-0.0470211772121467
1515,TotalSalesAmount,LightGBM,2511.862550562215,3306.030973920092,0.2377572854824357
1515,TotalSalesQuantity,Prophet,13.255937969306771,17.69729371918778,-0.048259566669027
1515,TotalSalesQuantity,LightGBM,11.46994383345816,14.986752089447307,0.2482556660940351
176,TotalSalesAmount,Prophet,12962.950008278198,13659.348608853625,-53.21030644069634
176,TotalSalesAmount,LightGBM,1490.1750550019983,2028.7298720832127,-0.1958324444049595
176,TotalSalesQuantity,Prophet,145.3458450312603,152.89975882122096,-99.46844021138352
176,TotalSalesQuantity,LightGBM,12.216845382927918,16.479835497956888,-0.1671369099804609
153,TotalSalesAmount,Prophet,39800.81477476999,43324.56296705479,-17.502136950157777
153,TotalSalesAmount,LightGBM,5810.685889972067,9256.557346682364,0.1553972282918098
153,TotalSalesQuantity,Prophet,127.12406751208512,135.54066247449887,-32.51165477090026
153,TotalSalesQuantity,LightGBM,12.2284699019134,20.55274487641545,0.229457978302341
297,TotalSalesAmount,Prophet,5808.510156468277,7298.533024009034,-0.037798381696021
297,TotalSalesAmount,LightGBM,4773.064093063204,7113.904550774001,0.0140431651895637
297,TotalSalesQuantity,Prophet,23.02877359394232,29.16835165588508,-0.0331439147634347
297,TotalSalesQuantity,LightGBM,18.561772484857283,28.01103018184592,0.0472143435010672
