y_true,y_pred
,24.604499965602606
,20.668715049834272
,24.650087965593634
,18.024776571428013
,21.088833402922063
,21.601609020651058
,18.070364571432854
,23.1415702516035
,21.649876077803327
,19.066574323661364
,20.76524916411135
,18.123989742856146
,23.19653495160439
,21.704840777804257
,19.121539161598644
,20.820214140024618
,24.802926722306303
,21.75980644343721
,19.17650482726758
,18.233920660304975
,23.306466007005373
,21.814772110552482
,19.231470495111566
,20.930145474273605
,24.9128580572946
,18.288886330371888
,21.355622496383383
,21.869737781374784
,19.2864361681249
,20.9851111494993
,18.34385200998732
,23.41639735962831
,21.92470346759495
,21.040076835709563
,18.398817695304956
,23.47136304448528
,21.46555386481076
,21.979669151547014
,21.09504251874611
,25.077755103504458
,18.453783378332098
,23.52632873059993
,21.520519554011646
,22.034634843815297
,19.451333233199247
,21.150008217197023
,25.13272080504202
,22.089600555137004
,19.5062989461889
,23.63626015489828
,21.63045097997583
,22.14456627146172
,19.56126466250731
,21.25993964817044
,25.2426522383885
,23.691225873268316
,21.685416699016034
,19.61623038293436
,25.29761795946651
,18.673646239731944
,23.746191594351025
,21.74038242035363
,19.671196104753797
,21.3698710913355
,25.352583681785877
,18.728611962306474
,23.801157317167316
,19.72616182829598
,25.40754940577807
,23.85612304162553
,21.850313867869286
,19.781127552734734
,21.479802539535108
,25.46251513023219
,18.838543412599407
,23.91108876931292
,19.836093285276004
,21.534768273702575
,25.517480866003538
,18.893509148368082
,23.96605450508321
,21.960245329170306
,21.58973399436225
,18.948474861478804
,24.021020214412577
,22.015211038490396
,22.52932632898279
,19.946024720700805
,21.644699706996438
,25.627412297168352
,19.003440577398777
,22.070176757716624
,22.584292049863535
,25.682378018032217
,24.13095165214429
,22.125142477504795
,20.055956160660283
,21.754631146588096
,24.185917370506477
,22.69422348766717
,20.11092187901005
,21.809596865823295
,25.79230945651332
,19.16833773726325
,22.23507391860453
,22.74918921125211
,25.84727518099497
,19.223303462228404
,25.902240908861145
,19.27826919008819
,22.34500537240532
,20.275819058231612
,25.957206636730568
,19.333234917958087
,24.40578027333777
,22.91408639277872
,19.38820064436895
,24.460745999755925
,22.454936826262625
,22.96905211919259
,20.385750511687004
,22.08442549940146
,22.509902555789896
,20.440716242445884
,26.12210382174182
,22.564868286535845
,23.07898358008443
,20.495681969609258
,22.1943569537105
,20.550647675195847
,22.249322659310327
,26.23203524730098
,19.608063525353618
,24.680608877759937
,23.188914990006896
,26.287000949767645
,24.73557457898721
,23.243880691247853
,26.34196665101363
,19.717994928438834
,22.784731101879352
,23.298846390593035
,26.396932348444658
,24.845505976396673
,22.839696798679025
,20.770510475675255
,22.46918545852388
,19.82792632164959
,24.900471672598172
,20.825476171257705
,26.506863740435268
,19.882892017047034
,24.955437367987336
,23.463743478571047
,20.880441866846564
,19.93785771320764
,25.01040306434376
,20.935407563566965
,22.63408254641756
,26.616795133156508
,19.992823411179018
,25.0653687635633
,23.059559587073323
,20.990373266499244
,22.689048250618182
,26.671760838586255
,25.120334468991988
,23.11452529526712
,21.045338980204825
,22.744013967053178
,26.726726557768362
,20.10275483855008
,25.175300193688702
,21.100304704882074
,20.157720563239504
,25.230265918376773
,23.224456744655072
,21.155270429578117
,26.836658007143527
,23.279422469338186
,21.21023615427416
,22.90891114111141
,26.89162373184948
,20.267652012625284
,25.34019736775126
,23.334388194032282
,21.265201878970203
,22.963876865795264
,26.946589456532017
,23.38935391872638
,27.001555181224646
,20.377583462007337
,25.45012881713522
,23.958434936102545
,21.375133328358494
,23.07380831520625
,27.056520905917267
,20.43254918669729
,25.505094541827614
,21.430099053037637
,23.128774039890107
,27.11148663061314
,25.560060266520008
,24.068366385473443
,23.183739764580626
,23.609216817480302
,24.12333211016588
,23.238705489271137
,27.22141807997822
31.0,
9.0,
24.0,
9.0,
30.0,
24.0,
9.0,
18.0,
12.0,
9.0,
9.0,
9.0,
9.0,
18.0,
54.0,
18.0,
18.0,
30.0,
12.0,
69.0,
9.0,
21.0,
9.0,
18.0,
18.0,
27.0,
9.0,
12.0,
9.0,
12.0,
9.0,
12.0,
9.0,
12.0,
18.0,
18.0,
9.0,
18.0,
27.0,
20.0,
20.0,
20.0,
49.0,
33.0,
27.0,
21.0,
40.0,
9.0,
10.0,
10.0,
12.0,
29.0,
21.0,
20.0,
18.0,
36.0,
10.0,
32.0,
10.0,
9.0,
12.0,
10.0,
22.0,
10.0,
54.0,
24.0,
70.0,
12.0,
48.0,
30.0,
10.0,
12.0,
10.0,
70.0,
20.0,
20.0,
20.0,
12.0,
10.0,
12.0,
10.0,
12.0,
40.0,
20.0,
10.0,
82.0,
84.0,
46.0,
12.0,
10.0,
30.0,
42.0,
24.0,
10.0,
24.0,
10.0,
10.0,
36.0,
60.0,
20.0,
40.0,
10.0,
24.0,
12.0,
12.0,
48.0,
12.0,
10.0,
36.0,
24.0,
12.0,
10.0,
24.0,
24.0,
36.0,
12.0,
12.0,
12.0,
24.0,
10.0,
74.0,
10.0,
12.0,
21.0,
24.0,
12.0,
12.0,
24.0,
120.0,
12.0,
12.0,
33.0,
12.0,
10.0,
12.0,
39.0,
12.0,
10.0,
45.0,
12.0,
9.0,
12.0,
9.0,
22.0,
48.0,
9.0,
12.0,
12.0,
46.0,
20.0,
